age,sex,children,smoker,exp,expenses
19,female,0,yes,16884.92,16885
18,male,1,no,1725.55,1726
28,male,3,no,4449.46,4449
33,male,0,no,21984.47,21984
32,male,0,no,3866.86,3867
31,female,0,no,3756.62,3757
46,female,1,no,8240.59,8241
37,female,3,no,7281.51,7282
37,male,2,no,6406.41,6406
60,female,0,no,28923.14,28923
25,male,0,no,2721.32,2721
62,female,0,yes,27808.73,27809
23,male,0,no,1826.84,1827
56,female,0,no,11090.72,11091
27,male,0,yes,39611.76,39612
19,male,1,no,1837.24,1837
52,female,1,no,10797.34,10797
23,male,0,no,2395.17,2395
56,male,0,no,10602.39,10602
30,male,0,yes,36837.47,36837
60,female,0,no,13228.85,13229
30,female,1,no,4149.74,4150
18,male,0,no,1137.01,1137
34,female,1,yes,37701.88,37702
37,male,2,no,6203.9,6204
59,female,3,no,14001.13,14001
63,female,0,no,14451.84,14452
55,female,2,no,12268.63,12269
23,male,1,no,2775.19,2775
31,male,2,yes,38711,38711
22,male,0,yes,35585.58,35586
18,female,0,no,2198.19,2198
19,female,5,no,4687.8,4688
63,male,0,no,13770.1,13770
28,male,1,yes,51194.56,51195
19,male,0,no,1625.43,1625
62,female,3,no,15612.19,15612
26,male,0,no,2302.3,2302
35,male,1,yes,39774.28,39774
60,male,0,yes,48173.36,48173
24,female,0,no,3046.06,3046
31,female,2,no,4949.76,4950
41,male,1,no,6272.48,6272
37,female,2,no,6313.76,6314
38,male,1,no,6079.67,6080
55,male,0,no,20630.28,20630
18,female,2,no,3393.36,3393
28,female,0,no,3556.92,3557
60,female,0,no,12629.9,12630
36,male,1,yes,38709.18,38709
18,female,0,no,2211.13,2211
21,female,2,no,3579.83,3580
48,male,1,yes,23568.27,23568
36,male,0,yes,37742.58,37743
40,female,3,no,8059.68,8060
58,male,2,yes,47496.49,47496
58,female,2,no,13607.37,13607
18,male,2,yes,34303.17,34303
53,female,1,yes,23244.79,23245
34,female,2,no,5989.52,5990
43,male,3,no,8606.22,8606
25,male,4,no,4504.66,4505
64,male,1,no,30166.62,30167
28,female,1,no,4133.64,4134
20,female,0,yes,14711.74,14712
19,female,0,no,1743.21,1743
61,female,2,no,14235.07,14235
40,male,1,no,6389.38,6389
40,female,0,no,5920.1,5920
28,male,3,yes,17663.14,17663
27,female,0,yes,16577.78,16578
31,male,5,no,6799.46,6799
53,female,3,no,11741.73,11742
58,male,1,no,11946.63,11947
44,male,2,no,7726.85,7727
57,male,0,no,11356.66,11357
29,female,1,no,3947.41,3947
21,male,0,no,1532.47,1532
22,female,0,no,2755.02,2755
41,female,0,no,6571.02,6571
31,male,1,no,4441.21,4441
45,female,0,no,7935.29,7935
22,male,1,yes,37165.16,37165
48,female,4,no,11033.66,11034
37,female,2,yes,39836.52,39837
45,male,2,yes,21098.55,21099
57,female,0,yes,43578.94,43579
56,female,0,no,11073.18,11073
46,female,0,no,8026.67,8027
55,female,0,no,11082.58,11083
21,female,0,no,2026.97,2027
53,female,1,no,10942.13,10942
59,male,3,yes,30184.94,30185
35,male,2,no,5729.01,5729
64,female,2,yes,47291.06,47291
28,female,1,no,3766.88,3767
54,female,3,no,12105.32,12105
55,male,0,no,10226.28,10226
56,male,0,yes,22412.65,22413
38,male,0,yes,15820.7,15821
41,female,0,no,6186.13,6186
30,male,0,no,3645.09,3645
18,female,0,no,21344.85,21345
61,female,3,yes,30942.19,30942
34,female,1,no,5003.85,5004
20,male,1,yes,17560.38,17560
19,female,1,no,2331.52,2332
26,male,2,no,3877.3,3877
29,male,0,no,2867.12,2867
63,male,0,yes,47055.53,47056
54,male,1,no,10825.25,10825
55,female,2,no,11881.36,11881
37,male,0,no,4646.76,4647
21,female,0,no,2404.73,2405
52,male,3,no,11488.32,11488
60,male,0,no,30260,30260
58,male,0,no,11381.33,11381
29,female,1,yes,19107.78,19108
49,female,0,no,8601.33,8601
37,female,2,no,6686.43,6686
44,male,2,no,7740.34,7740
18,male,0,no,1705.62,1706
20,female,0,no,2257.48,2257
44,male,1,yes,39556.49,39556
47,female,3,no,10115.01,10115
26,female,0,no,3385.4,3385
19,female,0,yes,17081.08,17081
52,female,0,no,9634.54,9635
32,female,2,yes,32734.19,32734
38,male,2,no,6082.41,6082
59,female,0,no,12815.44,12815
61,female,0,no,13616.36,13616
53,female,2,no,11163.57,11164
19,male,0,no,1632.56,1633
20,female,0,no,2457.21,2457
22,female,0,no,2155.68,2156
19,male,0,no,1261.44,1261
22,male,0,no,2045.69,2046
54,female,3,no,27322.73,27323
22,female,0,no,2166.73,2167
34,male,2,no,27375.9,27376
26,male,1,no,3490.55,3491
34,male,2,yes,18972.5,18973
29,male,2,no,18157.88,18158
30,male,3,yes,20745.99,20746
29,female,3,no,5138.26,5138
46,male,3,yes,40720.55,40721
51,female,1,no,9877.61,9878
53,female,1,no,10959.69,10960
19,male,1,no,1842.52,1843
35,male,1,no,5125.22,5125
48,male,0,no,7789.64,7790
32,female,3,no,6334.34,6334
42,female,0,yes,19964.75,19965
40,female,1,no,7077.19,7077
44,male,0,no,6948.7,6949
48,male,0,yes,21223.68,21224
18,male,0,yes,15518.18,15518
30,male,0,yes,36950.26,36950
50,female,3,no,19749.38,19749
42,female,0,yes,21348.71,21349
18,female,0,yes,36149.48,36149
54,male,1,no,10450.55,10451
32,female,2,no,5152.13,5152
37,male,0,no,5028.15,5028
47,male,4,no,10407.09,10407
20,female,5,no,4830.63,4831
32,female,3,no,6128.8,6129
19,female,1,no,2719.28,2719
27,male,3,no,4827.9,4828
63,male,0,no,13405.39,13405
49,male,0,no,8116.68,8117
18,male,0,no,1694.8,1695
